Description,Category,Urgency,Sentiment
I have a question about my recent invoice.,Billing Inquiry,Low,Negative
My subscription payment failed.,Feature Request,Medium,Negative
The application crashes whenever I try to open it.,Billing Inquiry,Medium,Negative
I'm experiencing issues with logging into my account.,Technical Issue,Low,Neutral
My subscription payment failed.,Technical Issue,High,Positive
I'm experiencing issues with logging into my account.,Feature Request,Medium,Positive
I'm encountering errors when trying to checkout.,Technical Issue,Medium,Negative
My subscription payment failed.,Feature Request,Medium,Positive
I have a question about my recent invoice.,Feature Request,Medium,Negative
The website is slow to load.,Billing Inquiry,Medium,Neutral
My subscription payment failed.,Technical Issue,High,Positive
I'm satisfied with the service provided.,Technical Issue,High,Positive
I would like to suggest adding a new feature to the platform.,Billing Inquiry,Low,Neutral
I have a question about my recent invoice.,Technical Issue,High,Positive
The website is slow to load.,Billing Inquiry,Medium,Positive
I have a question about my recent invoice.,Feature Request,Medium,Positive
I'm satisfied with the service provided.,Technical Issue,Medium,Positive
I have a question about my recent invoice.,Technical Issue,Low,Neutral
I would like to suggest adding a new feature to the platform.,Billing Inquiry,High,Neutral
The website is slow to load.,Technical Issue,Medium,Negative
I'm unable to reset my password.,Feature Request,Medium,Negative
My subscription payment failed.,Feature Request,Medium,Neutral
The application crashes whenever I try to open it.,Feature Request,High,Negative
I would like to suggest adding a new feature to the platform.,Technical Issue,Medium,Positive
I have a question about my recent invoice.,Feature Request,Low,Neutral
I'm satisfied with the service provided.,Feature Request,High,Positive
I'm not receiving email notifications from the platform.,Billing Inquiry,Low,Positive
The website is slow to load.,Billing Inquiry,Low,Negative
I'm not receiving email notifications from the platform.,Billing Inquiry,High,Neutral
I'm unable to reset my password.,Technical Issue,High,Negative
The website is slow to load.,Billing Inquiry,Low,Neutral
I have a question about my recent invoice.,Billing Inquiry,Low,Negative
My subscription payment failed.,Billing Inquiry,Low,Positive
I would like to suggest adding a new feature to the platform.,Technical Issue,Medium,Neutral
The application crashes whenever I try to open it.,Billing Inquiry,High,Negative
I'm satisfied with the service provided.,Feature Request,Medium,Positive
I'm satisfied with the service provided.,Feature Request,Low,Neutral
I would like to suggest adding a new feature to the platform.,Feature Request,Medium,Negative
I would like to suggest adding a new feature to the platform.,Billing Inquiry,Medium,Positive
I'm encountering errors when trying to checkout.,Feature Request,Medium,Positive
I'm not receiving email notifications from the platform.,Billing Inquiry,Medium,Neutral
I'm not receiving email notifications from the platform.,Technical Issue,Medium,Neutral
I'm not receiving email notifications from the platform.,Technical Issue,Medium,Positive
The application crashes whenever I try to open it.,Feature Request,High,Negative
I'm experiencing issues with logging into my account.,Billing Inquiry,Medium,Negative
The website is slow to load.,Technical Issue,Low,Negative
The application crashes whenever I try to open it.,Feature Request,Medium,Positive
My subscription payment failed.,Billing Inquiry,Low,Positive
I would like to suggest adding a new feature to the platform.,Feature Request,Low,Positive
I'm satisfied with the service provided.,Billing Inquiry,Medium,Neutral
I have a question about my recent invoice.,Billing Inquiry,High,Negative
I'm encountering errors when trying to checkout.,Feature Request,Low,Neutral
I'm experiencing issues with logging into my account.,Billing Inquiry,Medium,Neutral
I have a question about my recent invoice.,Feature Request,Medium,Neutral
My subscription payment failed.,Feature Request,High,Neutral
I'm experiencing issues with logging into my account.,Technical Issue,Medium,Neutral
I would like to suggest adding a new feature to the platform.,Technical Issue,High,Positive
I'm unable to reset my password.,Billing Inquiry,Low,Positive
The website is slow to load.,Feature Request,Medium,Positive
I'm not receiving email notifications from the platform.,Feature Request,Medium,Positive
I'm encountering errors when trying to checkout.,Billing Inquiry,Medium,Positive
My subscription payment failed.,Technical Issue,High,Positive
I'm unable to reset my password.,Billing Inquiry,Medium,Negative
I would like to suggest adding a new feature to the platform.,Billing Inquiry,Medium,Neutral
The website is slow to load.,Feature Request,Medium,Neutral
My subscription payment failed.,Billing Inquiry,Low,Neutral
The application crashes whenever I try to open it.,Billing Inquiry,High,Neutral
I have a question about my recent invoice.,Billing Inquiry,Low,Negative
I'm satisfied with the service provided.,Billing Inquiry,Low,Positive
I would like to suggest adding a new feature to the platform.,Billing Inquiry,Low,Neutral
The website is slow to load.,Feature Request,Medium,Neutral
I'm satisfied with the service provided.,Feature Request,Medium,Neutral
The website is slow to load.,Technical Issue,High,Neutral
I'm not receiving email notifications from the platform.,Feature Request,Medium,Negative
My subscription payment failed.,Billing Inquiry,Low,Positive
I'm unable to reset my password.,Technical Issue,Medium,Neutral
I'm satisfied with the service provided.,Technical Issue,Low,Negative
I would like to suggest adding a new feature to the platform.,Feature Request,High,Positive
I'm unable to reset my password.,Billing Inquiry,Low,Negative
The application crashes whenever I try to open it.,Feature Request,Medium,Neutral
I would like to suggest adding a new feature to the platform.,Feature Request,Low,Neutral
I'm satisfied with the service provided.,Billing Inquiry,High,Neutral
The website is slow to load.,Technical Issue,Low,Positive
My subscription payment failed.,Technical Issue,High,Positive
The application crashes whenever I try to open it.,Technical Issue,High,Neutral
My subscription payment failed.,Feature Request,Low,Negative
I'm unable to reset my password.,Feature Request,Medium,Neutral
My subscription payment failed.,Feature Request,Medium,Neutral
The website is slow to load.,Technical Issue,Low,Neutral
I'm experiencing issues with logging into my account.,Billing Inquiry,High,Positive
I have a question about my recent invoice.,Technical Issue,Medium,Positive
I would like to suggest adding a new feature to the platform.,Technical Issue,Medium,Neutral
The website is slow to load.,Billing Inquiry,Medium,Negative
I'm encountering errors when trying to checkout.,Feature Request,High,Positive
The website is slow to load.,Technical Issue,Low,Positive
I'm experiencing issues with logging into my account.,Billing Inquiry,High,Neutral
The website is slow to load.,Billing Inquiry,Low,Neutral
I have a question about my recent invoice.,Feature Request,High,Neutral
The website is slow to load.,Technical Issue,Low,Positive
I'm experiencing issues with logging into my account.,Technical Issue,High,Neutral
The application crashes whenever I try to open it.,Billing Inquiry,High,Positive
My subscription payment failed.,Technical Issue,High,Negative
My subscription payment failed.,Technical Issue,High,Negative
I'm experiencing issues with logging into my account.,Billing Inquiry,Medium,Positive
I'm not receiving email notifications from the platform.,Feature Request,High,Negative
I'm satisfied with the service provided.,Billing Inquiry,Medium,Negative
I'm not receiving email notifications from the platform.,Feature Request,Low,Negative
I would like to suggest adding a new feature to the platform.,Feature Request,Low,Negative
I'm experiencing issues with logging into my account.,Technical Issue,High,Negative
The website is slow to load.,Billing Inquiry,Medium,Neutral
My subscription payment failed.,Feature Request,Medium,Neutral
I have a question about my recent invoice.,Technical Issue,High,Negative
The application crashes whenever I try to open it.,Technical Issue,Medium,Neutral
I'm not receiving email notifications from the platform.,Billing Inquiry,Low,Neutral
The website is slow to load.,Technical Issue,Low,Negative
I'm experiencing issues with logging into my account.,Technical Issue,Low,Negative
My subscription payment failed.,Technical Issue,Medium,Positive
I'm satisfied with the service provided.,Technical Issue,Low,Neutral
I'm encountering errors when trying to checkout.,Billing Inquiry,Low,Positive
I'm not receiving email notifications from the platform.,Billing Inquiry,Medium,Neutral
I'm not receiving email notifications from the platform.,Feature Request,High,Neutral
The application crashes whenever I try to open it.,Billing Inquiry,Medium,Positive
My subscription payment failed.,Technical Issue,High,Negative
I'm unable to reset my password.,Technical Issue,High,Positive
I'm encountering errors when trying to checkout.,Feature Request,Medium,Neutral
The website is slow to load.,Feature Request,Low,Negative
I have a question about my recent invoice.,Technical Issue,High,Positive
I'm satisfied with the service provided.,Feature Request,High,Neutral
The application crashes whenever I try to open it.,Technical Issue,High,Negative
I'm experiencing issues with logging into my account.,Feature Request,High,Negative
The website is slow to load.,Feature Request,Low,Positive
My subscription payment failed.,Technical Issue,High,Neutral
I'm experiencing issues with logging into my account.,Billing Inquiry,Low,Negative
I'm unable to reset my password.,Technical Issue,High,Positive
I'm experiencing issues with logging into my account.,Technical Issue,Medium,Negative
My subscription payment failed.,Billing Inquiry,High,Neutral
I have a question about my recent invoice.,Billing Inquiry,High,Neutral
I'm unable to reset my password.,Feature Request,High,Negative
I have a question about my recent invoice.,Feature Request,Low,Neutral
I have a question about my recent invoice.,Feature Request,Medium,Neutral
My subscription payment failed.,Feature Request,Low,Neutral
I have a question about my recent invoice.,Feature Request,Low,Neutral
I'm unable to reset my password.,Feature Request,Low,Negative
I have a question about my recent invoice.,Technical Issue,Low,Neutral
I'm satisfied with the service provided.,Feature Request,High,Neutral
I would like to suggest adding a new feature to the platform.,Feature Request,Low,Negative
I'm experiencing issues with logging into my account.,Billing Inquiry,Low,Neutral
The website is slow to load.,Billing Inquiry,Medium,Neutral
I would like to suggest adding a new feature to the platform.,Feature Request,Low,Positive
I have a question about my recent invoice.,Billing Inquiry,Low,Negative
I'm satisfied with the service provided.,Technical Issue,High,Neutral
I'm experiencing issues with logging into my account.,Billing Inquiry,High,Neutral
My subscription payment failed.,Technical Issue,Medium,Positive
I'm encountering errors when trying to checkout.,Billing Inquiry,Medium,Negative
I have a question about my recent invoice.,Technical Issue,Low,Neutral
I'm satisfied with the service provided.,Feature Request,Medium,Positive
I'm unable to reset my password.,Feature Request,High,Negative
The application crashes whenever I try to open it.,Billing Inquiry,Low,Neutral
I'm unable to reset my password.,Technical Issue,Medium,Negative
I have a question about my recent invoice.,Feature Request,Low,Positive
The website is slow to load.,Feature Request,Low,Positive
I'm encountering errors when trying to checkout.,Feature Request,Low,Neutral
I have a question about my recent invoice.,Billing Inquiry,Medium,Negative
I would like to suggest adding a new feature to the platform.,Feature Request,Medium,Negative
I'm encountering errors when trying to checkout.,Billing Inquiry,Medium,Positive
I'm encountering errors when trying to checkout.,Feature Request,Low,Neutral
I'm experiencing issues with logging into my account.,Technical Issue,Low,Negative
I have a question about my recent invoice.,Billing Inquiry,Low,Neutral
I'm satisfied with the service provided.,Technical Issue,Medium,Positive
The website is slow to load.,Billing Inquiry,Low,Negative
I'm not receiving email notifications from the platform.,Billing Inquiry,Medium,Neutral
I'm satisfied with the service provided.,Billing Inquiry,Low,Positive
I'm satisfied with the service provided.,Billing Inquiry,High,Positive
I'm satisfied with the service provided.,Feature Request,Low,Neutral
The website is slow to load.,Technical Issue,Low,Negative
I'm experiencing issues with logging into my account.,Feature Request,Low,Negative
My subscription payment failed.,Feature Request,Medium,Neutral
I have a question about my recent invoice.,Technical Issue,High,Negative
The application crashes whenever I try to open it.,Billing Inquiry,High,Negative
I'm unable to reset my password.,Feature Request,High,Negative
I'm satisfied with the service provided.,Billing Inquiry,High,Positive
I'm experiencing issues with logging into my account.,Billing Inquiry,Low,Negative
The website is slow to load.,Billing Inquiry,Medium,Negative
I would like to suggest adding a new feature to the platform.,Feature Request,Low,Neutral
I have a question about my recent invoice.,Technical Issue,Medium,Neutral
I have a question about my recent invoice.,Feature Request,Low,Neutral
The application crashes whenever I try to open it.,Technical Issue,Low,Negative
The application crashes whenever I try to open it.,Billing Inquiry,Low,Neutral
The website is slow to load.,Technical Issue,High,Neutral
The website is slow to load.,Billing Inquiry,Low,Neutral
I'm experiencing issues with logging into my account.,Billing Inquiry,High,Negative
I'm encountering errors when trying to checkout.,Feature Request,Low,Negative
I'm unable to reset my password.,Billing Inquiry,Low,Negative
The website is slow to load.,Technical Issue,Low,Neutral
I would like to suggest adding a new feature to the platform.,Feature Request,High,Negative
I would like to suggest adding a new feature to the platform.,Billing Inquiry,High,Negative
I'm experiencing issues with logging into my account.,Billing Inquiry,Medium,Negative
I would like to suggest adding a new feature to the platform.,Technical Issue,High,Negative
I'm not receiving email notifications from the platform.,Billing Inquiry,Low,Positive
The website is slow to load.,Technical Issue,Medium,Positive
The application crashes whenever I try to open it.,Feature Request,Medium,Positive
My subscription payment failed.,Billing Inquiry,Medium,Neutral
I'm experiencing issues with logging into my account.,Feature Request,Medium,Negative
I would like to suggest adding a new feature to the platform.,Feature Request,High,Neutral
I would like to suggest adding a new feature to the platform.,Billing Inquiry,Low,Positive
The application crashes whenever I try to open it.,Feature Request,Medium,Negative
I'm not receiving email notifications from the platform.,Feature Request,Low,Negative
I would like to suggest adding a new feature to the platform.,Technical Issue,Medium,Positive
I'm encountering errors when trying to checkout.,Feature Request,High,Positive
I'm satisfied with the service provided.,Billing Inquiry,High,Positive
I'm not receiving email notifications from the platform.,Technical Issue,Medium,Negative
I would like to suggest adding a new feature to the platform.,Technical Issue,Low,Positive
I'm not receiving email notifications from the platform.,Feature Request,Medium,Positive
My subscription payment failed.,Technical Issue,Low,Positive
I'm unable to reset my password.,Technical Issue,High,Neutral
I have a question about my recent invoice.,Technical Issue,Medium,Neutral
I have a question about my recent invoice.,Billing Inquiry,High,Positive
I'm experiencing issues with logging into my account.,Technical Issue,Medium,Negative
The website is slow to load.,Technical Issue,High,Positive
I'm satisfied with the service provided.,Billing Inquiry,Medium,Neutral
I'm satisfied with the service provided.,Billing Inquiry,Medium,Negative
The website is slow to load.,Technical Issue,Medium,Positive
I'm not receiving email notifications from the platform.,Technical Issue,High,Neutral
I would like to suggest adding a new feature to the platform.,Feature Request,Low,Positive
I have a question about my recent invoice.,Billing Inquiry,Medium,Positive
My subscription payment failed.,Feature Request,Low,Negative
My subscription payment failed.,Technical Issue,Medium,Positive
I'm unable to reset my password.,Billing Inquiry,Medium,Negative
I'm satisfied with the service provided.,Billing Inquiry,Low,Positive
My subscription payment failed.,Billing Inquiry,Low,Negative
The application crashes whenever I try to open it.,Technical Issue,Low,Negative
The website is slow to load.,Billing Inquiry,High,Neutral
I'm not receiving email notifications from the platform.,Billing Inquiry,Low,Positive
I'm encountering errors when trying to checkout.,Feature Request,Low,Positive
The application crashes whenever I try to open it.,Technical Issue,High,Positive
I'm encountering errors when trying to checkout.,Technical Issue,Medium,Positive
I would like to suggest adding a new feature to the platform.,Billing Inquiry,Low,Positive
My subscription payment failed.,Billing Inquiry,High,Neutral
The application crashes whenever I try to open it.,Technical Issue,Low,Neutral
I'm not receiving email notifications from the platform.,Technical Issue,Low,Neutral
I'm experiencing issues with logging into my account.,Billing Inquiry,Medium,Positive
I'm experiencing issues with logging into my account.,Billing Inquiry,Low,Positive
My subscription payment failed.,Technical Issue,High,Neutral
I'm unable to reset my password.,Billing Inquiry,Low,Positive
I would like to suggest adding a new feature to the platform.,Billing Inquiry,Medium,Positive
I would like to suggest adding a new feature to the platform.,Billing Inquiry,High,Positive
I would like to suggest adding a new feature to the platform.,Feature Request,High,Neutral
I'm experiencing issues with logging into my account.,Feature Request,Low,Negative
I'm satisfied with the service provided.,Feature Request,Medium,Neutral
I'm experiencing issues with logging into my account.,Billing Inquiry,High,Negative
I'm encountering errors when trying to checkout.,Billing Inquiry,High,Positive
I'm unable to reset my password.,Billing Inquiry,Low,Neutral
I'm encountering errors when trying to checkout.,Technical Issue,Low,Negative
I'm encountering errors when trying to checkout.,Billing Inquiry,Low,Negative
My subscription payment failed.,Feature Request,Medium,Neutral
I would like to suggest adding a new feature to the platform.,Feature Request,Medium,Neutral
The application crashes whenever I try to open it.,Technical Issue,Low,Positive
The application crashes whenever I try to open it.,Billing Inquiry,Medium,Negative
I'm not receiving email notifications from the platform.,Technical Issue,Medium,Neutral
The website is slow to load.,Feature Request,Medium,Positive
I'm not receiving email notifications from the platform.,Technical Issue,Medium,Negative
The website is slow to load.,Feature Request,High,Positive
I'm encountering errors when trying to checkout.,Feature Request,Medium,Negative
I'm unable to reset my password.,Technical Issue,Low,Neutral
I'm experiencing issues with logging into my account.,Feature Request,Low,Negative
The application crashes whenever I try to open it.,Feature Request,High,Negative
I'm satisfied with the service provided.,Technical Issue,High,Neutral
I have a question about my recent invoice.,Technical Issue,Low,Neutral
The website is slow to load.,Feature Request,High,Neutral
I have a question about my recent invoice.,Feature Request,Medium,Negative
The website is slow to load.,Billing Inquiry,High,Positive
I'm experiencing issues with logging into my account.,Feature Request,Medium,Positive
The website is slow to load.,Technical Issue,Low,Positive
I would like to suggest adding a new feature to the platform.,Billing Inquiry,Low,Negative
I would like to suggest adding a new feature to the platform.,Feature Request,Medium,Negative
I have a question about my recent invoice.,Feature Request,Low,Negative
I'm experiencing issues with logging into my account.,Technical Issue,Low,Negative
I'm unable to reset my password.,Feature Request,Medium,Negative
I'm not receiving email notifications from the platform.,Feature Request,High,Neutral
I'm not receiving email notifications from the platform.,Billing Inquiry,High,Negative
I have a question about my recent invoice.,Feature Request,Low,Neutral
The website is slow to load.,Billing Inquiry,High,Neutral
I'm not receiving email notifications from the platform.,Technical Issue,Medium,Neutral
I have a question about my recent invoice.,Feature Request,Low,Positive
My subscription payment failed.,Billing Inquiry,Low,Neutral
The website is slow to load.,Billing Inquiry,High,Neutral
I'm not receiving email notifications from the platform.,Technical Issue,High,Neutral
I'm experiencing issues with logging into my account.,Technical Issue,High,Negative
I'm unable to reset my password.,Billing Inquiry,Low,Negative
The application crashes whenever I try to open it.,Feature Request,Low,Negative
The application crashes whenever I try to open it.,Technical Issue,High,Positive
I'm unable to reset my password.,Billing Inquiry,High,Negative
I'm encountering errors when trying to checkout.,Technical Issue,Low,Positive
The application crashes whenever I try to open it.,Feature Request,Medium,Positive
My subscription payment failed.,Billing Inquiry,High,Neutral
I'm satisfied with the service provided.,Feature Request,Medium,Negative
I'm experiencing issues with logging into my account.,Technical Issue,Low,Negative
My subscription payment failed.,Feature Request,Low,Negative
My subscription payment failed.,Billing Inquiry,Low,Negative
I would like to suggest adding a new feature to the platform.,Feature Request,Low,Neutral
I'm encountering errors when trying to checkout.,Billing Inquiry,High,Neutral
I'm unable to reset my password.,Feature Request,Medium,Neutral
I'm satisfied with the service provided.,Technical Issue,High,Negative
I'm satisfied with the service provided.,Technical Issue,Medium,Negative
My subscription payment failed.,Technical Issue,Medium,Negative
The website is slow to load.,Technical Issue,Medium,Neutral
I'm encountering errors when trying to checkout.,Billing Inquiry,Low,Neutral
I'm experiencing issues with logging into my account.,Technical Issue,Low,Negative
I'm experiencing issues with logging into my account.,Technical Issue,Medium,Neutral
I'm experiencing issues with logging into my account.,Feature Request,Low,Neutral
I have a question about my recent invoice.,Billing Inquiry,High,Positive
I'm satisfied with the service provided.,Feature Request,High,Neutral
I would like to suggest adding a new feature to the platform.,Technical Issue,High,Negative
I'm not receiving email notifications from the platform.,Feature Request,Low,Positive
I'm satisfied with the service provided.,Feature Request,High,Positive
I'm experiencing issues with logging into my account.,Technical Issue,Low,Neutral
I'm not receiving email notifications from the platform.,Feature Request,Medium,Positive
The application crashes whenever I try to open it.,Billing Inquiry,Medium,Negative
I would like to suggest adding a new feature to the platform.,Feature Request,Low,Neutral
I would like to suggest adding a new feature to the platform.,Billing Inquiry,High,Neutral
I'm satisfied with the service provided.,Feature Request,Medium,Neutral
I'm unable to reset my password.,Technical Issue,High,Positive
The application crashes whenever I try to open it.,Feature Request,Low,Negative
I'm encountering errors when trying to checkout.,Billing Inquiry,High,Neutral
The application crashes whenever I try to open it.,Billing Inquiry,High,Neutral
I'm encountering errors when trying to checkout.,Billing Inquiry,Medium,Negative
The website is slow to load.,Technical Issue,Low,Neutral
I'm satisfied with the service provided.,Technical Issue,High,Negative
I'm not receiving email notifications from the platform.,Technical Issue,High,Neutral
I'm not receiving email notifications from the platform.,Feature Request,High,Negative
I'm unable to reset my password.,Billing Inquiry,Low,Negative
I'm experiencing issues with logging into my account.,Billing Inquiry,High,Neutral
The website is slow to load.,Feature Request,High,Negative
I'm satisfied with the service provided.,Feature Request,High,Neutral
I would like to suggest adding a new feature to the platform.,Billing Inquiry,High,Positive
The website is slow to load.,Billing Inquiry,High,Negative
The website is slow to load.,Billing Inquiry,Low,Neutral
I'm experiencing issues with logging into my account.,Billing Inquiry,High,Positive
My subscription payment failed.,Technical Issue,Medium,Positive
I have a question about my recent invoice.,Billing Inquiry,Low,Neutral
I would like to suggest adding a new feature to the platform.,Billing Inquiry,Medium,Positive
My subscription payment failed.,Feature Request,Medium,Negative
I would like to suggest adding a new feature to the platform.,Feature Request,High,Positive
I'm unable to reset my password.,Billing Inquiry,Medium,Positive
I have a question about my recent invoice.,Technical Issue,Medium,Neutral
I'm experiencing issues with logging into my account.,Feature Request,High,Neutral
The application crashes whenever I try to open it.,Feature Request,Low,Negative
I'm encountering errors when trying to checkout.,Technical Issue,Medium,Neutral
I'm experiencing issues with logging into my account.,Technical Issue,Low,Positive
I'm encountering errors when trying to checkout.,Technical Issue,Medium,Negative
My subscription payment failed.,Billing Inquiry,Low,Positive
I'm encountering errors when trying to checkout.,Feature Request,Low,Negative
I'm experiencing issues with logging into my account.,Feature Request,High,Positive
The website is slow to load.,Technical Issue,Low,Negative
I'm unable to reset my password.,Feature Request,High,Neutral
I'm not receiving email notifications from the platform.,Billing Inquiry,Low,Positive
I have a question about my recent invoice.,Feature Request,Medium,Positive
I'm experiencing issues with logging into my account.,Technical Issue,High,Negative
I have a question about my recent invoice.,Billing Inquiry,Low,Positive
I'm experiencing issues with logging into my account.,Technical Issue,Medium,Neutral
I'm unable to reset my password.,Billing Inquiry,High,Positive
The application crashes whenever I try to open it.,Technical Issue,Medium,Neutral
The website is slow to load.,Technical Issue,Low,Negative
I have a question about my recent invoice.,Feature Request,Medium,Negative
I'm unable to reset my password.,Billing Inquiry,Medium,Positive
The application crashes whenever I try to open it.,Technical Issue,Medium,Neutral
The website is slow to load.,Technical Issue,Medium,Positive
I'm encountering errors when trying to checkout.,Technical Issue,Low,Negative
I'm unable to reset my password.,Technical Issue,High,Positive
I would like to suggest adding a new feature to the platform.,Billing Inquiry,Medium,Positive
The application crashes whenever I try to open it.,Billing Inquiry,High,Negative
I have a question about my recent invoice.,Billing Inquiry,High,Positive
I'm unable to reset my password.,Technical Issue,Low,Negative
I'm satisfied with the service provided.,Billing Inquiry,Medium,Neutral
I have a question about my recent invoice.,Feature Request,High,Positive
I'm unable to reset my password.,Feature Request,Medium,Positive
I'm experiencing issues with logging into my account.,Technical Issue,Medium,Positive
I'm experiencing issues with logging into my account.,Feature Request,High,Negative
My subscription payment failed.,Feature Request,Low,Negative
I'm encountering errors when trying to checkout.,Technical Issue,Medium,Negative
The application crashes whenever I try to open it.,Feature Request,Medium,Neutral
I'm not receiving email notifications from the platform.,Feature Request,Medium,Positive
My subscription payment failed.,Feature Request,High,Negative
I'm experiencing issues with logging into my account.,Technical Issue,Low,Negative
I have a question about my recent invoice.,Feature Request,Low,Positive
The application crashes whenever I try to open it.,Technical Issue,High,Neutral
I'm experiencing issues with logging into my account.,Feature Request,Medium,Negative
I have a question about my recent invoice.,Billing Inquiry,Low,Neutral
I'm unable to reset my password.,Technical Issue,High,Neutral
I'm encountering errors when trying to checkout.,Billing Inquiry,High,Negative
The website is slow to load.,Feature Request,Medium,Positive
I'm unable to reset my password.,Feature Request,Low,Negative
I'm encountering errors when trying to checkout.,Technical Issue,Low,Positive
I'm unable to reset my password.,Feature Request,High,Positive
I'm not receiving email notifications from the platform.,Technical Issue,Medium,Positive
I'm encountering errors when trying to checkout.,Feature Request,Low,Positive
I would like to suggest adding a new feature to the platform.,Technical Issue,High,Neutral
My subscription payment failed.,Technical Issue,Low,Negative
My subscription payment failed.,Technical Issue,Medium,Negative
The application crashes whenever I try to open it.,Technical Issue,High,Negative
I'm encountering errors when trying to checkout.,Billing Inquiry,Low,Positive
The application crashes whenever I try to open it.,Feature Request,Medium,Negative
The application crashes whenever I try to open it.,Technical Issue,Low,Negative
I would like to suggest adding a new feature to the platform.,Feature Request,Medium,Neutral
I have a question about my recent invoice.,Feature Request,High,Negative
I'm experiencing issues with logging into my account.,Billing Inquiry,High,Positive
I'm experiencing issues with logging into my account.,Technical Issue,Low,Positive
The website is slow to load.,Technical Issue,High,Neutral
I'm satisfied with the service provided.,Feature Request,Medium,Positive
I have a question about my recent invoice.,Billing Inquiry,Low,Negative
I'm encountering errors when trying to checkout.,Feature Request,High,Neutral
I have a question about my recent invoice.,Technical Issue,Medium,Neutral
I would like to suggest adding a new feature to the platform.,Feature Request,High,Positive
I have a question about my recent invoice.,Billing Inquiry,High,Positive
I'm satisfied with the service provided.,Technical Issue,Low,Negative
I have a question about my recent invoice.,Technical Issue,Low,Negative
I'm not receiving email notifications from the platform.,Billing Inquiry,Medium,Positive
I'm not receiving email notifications from the platform.,Feature Request,Low,Positive
I'm not receiving email notifications from the platform.,Billing Inquiry,Medium,Neutral
The application crashes whenever I try to open it.,Billing Inquiry,High,Negative
I'm unable to reset my password.,Billing Inquiry,Medium,Positive
The website is slow to load.,Feature Request,Medium,Neutral
My subscription payment failed.,Technical Issue,Medium,Positive
I'm encountering errors when trying to checkout.,Feature Request,Low,Negative
I'm unable to reset my password.,Feature Request,High,Negative
The application crashes whenever I try to open it.,Billing Inquiry,Low,Positive
I'm satisfied with the service provided.,Billing Inquiry,High,Positive
The application crashes whenever I try to open it.,Billing Inquiry,Low,Positive
I'm experiencing issues with logging into my account.,Feature Request,High,Negative
I have a question about my recent invoice.,Billing Inquiry,High,Positive
I'm experiencing issues with logging into my account.,Feature Request,Medium,Neutral
I'm not receiving email notifications from the platform.,Technical Issue,Medium,Negative
The application crashes whenever I try to open it.,Technical Issue,High,Neutral
I'm not receiving email notifications from the platform.,Billing Inquiry,High,Negative
The application crashes whenever I try to open it.,Billing Inquiry,Medium,Positive
I would like to suggest adding a new feature to the platform.,Technical Issue,Low,Positive
The website is slow to load.,Technical Issue,Low,Positive
I'm not receiving email notifications from the platform.,Billing Inquiry,Low,Neutral
My subscription payment failed.,Billing Inquiry,High,Positive
My subscription payment failed.,Billing Inquiry,High,Positive
I have a question about my recent invoice.,Billing Inquiry,Low,Negative
I'm unable to reset my password.,Technical Issue,Medium,Negative
The application crashes whenever I try to open it.,Feature Request,High,Neutral
I'm experiencing issues with logging into my account.,Feature Request,Medium,Negative
I would like to suggest adding a new feature to the platform.,Billing Inquiry,Low,Positive
I'm experiencing issues with logging into my account.,Billing Inquiry,High,Neutral
The website is slow to load.,Technical Issue,Low,Positive
I have a question about my recent invoice.,Billing Inquiry,High,Neutral
I'm unable to reset my password.,Technical Issue,Medium,Positive
I'm unable to reset my password.,Feature Request,High,Positive
I'm unable to reset my password.,Feature Request,Low,Negative
The website is slow to load.,Technical Issue,High,Neutral
My subscription payment failed.,Feature Request,Medium,Negative
My subscription payment failed.,Technical Issue,Medium,Negative
My subscription payment failed.,Billing Inquiry,Low,Negative
My subscription payment failed.,Feature Request,Low,Neutral
The website is slow to load.,Billing Inquiry,Low,Neutral
The website is slow to load.,Billing Inquiry,High,Neutral
I'm experiencing issues with logging into my account.,Feature Request,Low,Negative
I'm not receiving email notifications from the platform.,Billing Inquiry,Low,Negative
I'm experiencing issues with logging into my account.,Technical Issue,Low,Neutral
I have a question about my recent invoice.,Billing Inquiry,Medium,Neutral
I'm encountering errors when trying to checkout.,Feature Request,Medium,Positive
I'm satisfied with the service provided.,Technical Issue,Medium,Negative
My subscription payment failed.,Feature Request,Medium,Positive
My subscription payment failed.,Feature Request,Medium,Neutral
I'm encountering errors when trying to checkout.,Billing Inquiry,Medium,Positive
I have a question about my recent invoice.,Technical Issue,Low,Neutral
My subscription payment failed.,Feature Request,Low,Positive
I'm encountering errors when trying to checkout.,Billing Inquiry,Medium,Positive
I have a question about my recent invoice.,Feature Request,Medium,Neutral
I have a question about my recent invoice.,Billing Inquiry,High,Neutral
I'm not receiving email notifications from the platform.,Feature Request,High,Negative
I'm satisfied with the service provided.,Technical Issue,High,Negative
I'm satisfied with the service provided.,Billing Inquiry,Medium,Neutral
My subscription payment failed.,Feature Request,High,Neutral
I'm not receiving email notifications from the platform.,Feature Request,Medium,Positive
I'm experiencing issues with logging into my account.,Billing Inquiry,High,Positive
I'm unable to reset my password.,Feature Request,Medium,Positive
My subscription payment failed.,Feature Request,Medium,Negative
I'm satisfied with the service provided.,Billing Inquiry,Low,Positive
The application crashes whenever I try to open it.,Feature Request,Medium,Neutral
I'm not receiving email notifications from the platform.,Technical Issue,Medium,Neutral
I'm not receiving email notifications from the platform.,Feature Request,Medium,Positive
I would like to suggest adding a new feature to the platform.,Billing Inquiry,Low,Negative
